,Unnamed: 0,Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency,Lat,Lng,Hour,Density
241,241,Motor Vehicle Theft,230709989,Motor Vehicle Theft - Generalist,9/10/2023,8:30:00 PM,Parking Lot,"17xx Summit St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9951251,-83.0014788,20,1596.5142980372507
242,242,Motor Vehicle Theft,230711017,Motor Vehicle Theft - Generalist,9/10/2023,7:48:00 PM,Street,"1xx E 14th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9983164,-82.9955108,19,1097.4073432083037
243,243,All Other - Criminal,202301385,Issuance Of Warrant Upon Failure To Appear,9/10/2023,7:14:00 PM,Street,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.0158356,-83.0656524,19,1221.3751953917524
244,244,Motor Vehicle Theft,230708985,Motor Vehicle Theft - Generalist,9/10/2023,7:00:00 PM,Parking Lot,"10xx Dennison Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9832204,-83.0085277,19,622.4334768604381
245,245,Assault - Simple,230708658,Domestic Violence,9/10/2023,7:00:00 PM,Multiple Dwelling,"9xx Mt Vernon Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh),39.9723555,-82.9721455,19,370.4879536049086
246,246,Motor Vehicle Theft,230709629,Motor Vehicle Theft - Generalist,9/10/2023,6:30:00 PM,Parking Lot,"30xx Sunset Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0236975,-83.0187308,18,690.4603162714791
247,247,All Other - Criminal,23000741,Criminal Mischief,9/10/2023,5:15:00 PM,,"9xx Woodhill Dr, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.9779184,-83.0380605,17,712.3398252149539
248,248,Theft,230708397,Theft - Misdemeanor - Ziu,9/10/2023,5:12:00 PM,Single Family Home,"13xx E 19th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0027713,-82.9840001,17,1080.7906386976217
249,249,All Other - Non-Criminal,230718194,Missing Person,9/10/2023,4:54:00 PM,Shelter-mission / Homeless,"14xx Hamlet St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9857009,-83.0005796,16,1024.0411204484126
250,250,Assault - Aggravated,230708379,Felony Assault,9/10/2023,3:53:00 PM,Street,"15xx Loretta Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),40.0147246,-82.9701322,15,1901.8612586283023
251,251,Traffic Incident,230708176,Traffic Arrest,9/10/2023,3:53:00 PM,Street,"15xx Loretta Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),40.0147246,-82.9701322,15,1901.8612586283023
252,252,Weapons Violation,202301383,Carrying Concealed Weapons_handgun Other Than A Dangerous Ordnance,9/10/2023,3:34:00 PM,Street,"13xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.0071931,-83.0535706,15,1002.9287893566426
253,253,All Other - Criminal,230708087,Menacing - Ziu,9/10/2023,3:06:00 PM,Other Business Office,"35xx N High St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9772408,-83.0035485,15,802.935145396928
