Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Assault - Simple,230744871,Domestic Violence,9/23/2023,11:49:00 PM,Single Family Home,"11xx Windsor Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301450,Issuance Of Warrant Upon Failure To Appear,9/23/2023,11:35:00 PM,Street,"Kenny Rd & Mccoy Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Drugs / Narcotics Violation,230744421,Drug Offense,9/23/2023,8:45:00 PM,Parking Lot,"E 5th Ave & Peters Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230744199,Domestic Violence,9/23/2023,7:20:00 PM,Single Family Home,"27xx Westerville Rd, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Sexual Offense,230744210,Public Indecency,9/23/2023,7:15:00 PM,Multiple Dwelling,"2xx E 16th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230744264,Motor Vehicle Theft - Generalist,9/23/2023,7:00:00 PM,Parking Lot,"12xx Olentangy River Rd, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Assault - Simple,230744091,Domestic Violence,9/23/2023,6:41:00 PM,Single Family Home,"11xx Northridge Rd, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230744132,Menacing - Ziu,9/23/2023,6:30:00 PM,Multiple Dwelling,"9xx Atcheson St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Death Investigation,23000772,Dead On Arrival,9/23/2023,6:18:00 PM,,"10xx Urlin Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Burglary - Residential,23000774,Burglary,9/23/2023,5:45:00 PM,,"8xx Goodale Blvd, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Non-Criminal,230755235,Missing Person,9/23/2023,5:00:00 PM,Single Family Home,"29xx Hiawatha Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Assault - Simple,230743659,Domestic Violence,9/23/2023,3:55:00 PM,Single Family Home,"25xx Homecroft Dr, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301447,Issuance Of Warrant Upon Failure To Appear,9/23/2023,3:41:00 PM,Street,"Kenny & W North Rd, Broadway Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Assault - Simple,230743444,Domestic Violence,9/23/2023,2:24:00 PM,Multiple Dwelling,"32xx Reis Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230744451,Motor Vehicle Theft - Generalist,9/23/2023,2:00:00 PM,Parking Lot,"Xx Jefferson Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230756580,Motor Vehicle Theft - Generalist,9/23/2023,12:00:00 PM,Parking Lot,"15xx Joyce Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Theft,23000771,Theft - From Motor Vehicle,9/23/2023,11:03:00 AM,,"9xx Quay Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Assault - Simple,230742499,Domestic Violence,9/23/2023,5:36:00 AM,Multiple Dwelling,"9xx Mount Vernon Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230742662,Motor Vehicle Theft - Generalist,9/23/2023,5:01:00 AM,Street,"12xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230742696,Burglary - Residential,9/23/2023,3:00:00 AM,Single Family Home,"11xx Vesta Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,202301445,Non-criminal Incident,9/23/2023,2:00:00 AM,,"14xx Westminster Dr, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Weapons Violation,230742194,Weapons Offense,9/23/2023,1:26:00 AM,Parking Lot,"11xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Traffic Incident,230742140,Traffic Arrest,9/23/2023,1:06:00 AM,Street,"E Weber Rd / Ontario St Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230742115,Drug Offense,9/23/2023,12:55:00 AM,Gas Station,"Joyce St & E Hudson Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Assault - Aggravated,230742141,Felony Assault,9/23/2023,12:35:00 AM,Bar,"Xx E 13th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Weapons Violation,230742049,Weapons Offense,9/23/2023,12:26:00 AM,Single Family Home,"34xx Kimberly Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230741863,Drug Offense,9/22/2023,11:58:00 PM,Street,"N 4th Ave & E 19th St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Burglary - Residential,230742737,Burglary - Residential,9/22/2023,11:00:00 PM,Single Family Home,"23xx Summit St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Assault - Simple,230741692,Domestic Violence,9/22/2023,9:49:00 PM,Arena / Stadium / Fairgrounds / Coliseum,"4xx Neil Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230741473,Theft - From Motor Vehicle - Petit - Ziu,9/22/2023,7:00:00 PM,Parking Lot,"11xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,233010886,Theft - Misdemeanor - Ziu,9/22/2023,4:00:00 PM,Parking Garage,"2xx W Norwich Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230740621,Menacing - Ziu,9/22/2023,3:30:00 PM,Street,"20xx Berrell Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230708005,Motor Vehicle Theft - Generalist,9/22/2023,1:49:00 PM,Parking Lot,"15xx Cordell Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,233010823,Menacing - Ziu,9/22/2023,12:00:00 PM,Multiple Dwelling,"21xx Joyce Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Weapons Violation,233010825,Weapons Offense,9/22/2023,10:56:00 AM,Street,"8xx E Starr Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,202301456,Non-criminal Incident,9/22/2023,8:41:00 AM,,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
