Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
All Other - Non-Criminal,230726028,Missing Person,9/17/2023,1:00:00 AM,Multiple Dwelling,"10xx Caldwell Pl, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230725628,Robbery - Individual,9/17/2023,12:22:00 AM,Street,"11xx Peters Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230725693,Burglary - Residential,9/16/2023,11:40:00 PM,Multiple Dwelling,"16xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Weapons Violation,230725483,Weapons Offense,9/16/2023,11:36:00 PM,Street,"E 7th St & N High Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230725452,Domestic Violence,9/16/2023,11:23:00 PM,Single Family Home,"32xx Eisenhower Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230726376,Motor Vehicle Theft - Generalist,9/16/2023,9:00:00 PM,Parking Lot,"13xx Holly Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,01-23-005968,Unspecified,9/16/2023,7:12:00 PM,,"18xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
Motor Vehicle Theft,230727600,Motor Vehicle Theft - Generalist,9/16/2023,6:50:00 PM,Street,"12xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230724549,Motor Vehicle Theft - Generalist,9/16/2023,5:53:00 PM,Street,"1xx W 3rd Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230721498,Domestic Violence,9/16/2023,4:48:00 PM,Single Family Home,"20xx Grasmere Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301421,Warrant,9/16/2023,4:18:00 PM,Street,"Trentwood Rd & Halesworth Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
